epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.095,1.03421,4.90505,1.60853,0.00648,0.875,0.21339,0.13795,1.59466,12.8244,2.79534,0.000408333,0.000408333,0.000408333
2,727.837,1.09767,3.76254,1.65647,0.27728,0.10833,0.0191,0.00623,2.93077,14.7223,3.98742,0.000820916,0.000820916,0.000820916
3,1084.19,1.21631,3.78692,1.7735,0.81065,0.13889,0.16879,0.09346,1.33676,9.5934,2.91804,0.00122937,0.00122937,0.00122937
4,1448.18,1.35545,3.2979,1.85863,0.53921,0.16389,0.0589,0.02669,1.49916,10.3239,3.34641,0.00123144,0.00123144,0.00123144
5,1805.62,1.35618,3.05571,1.81932,0.5356,0.24722,0.08493,0.02958,1.58138,12.4275,3.05758,0.00122525,0.00122525,0.00122525
6,2164.71,1.29278,2.91131,1.79172,0.30219,0.35833,0.08303,0.02142,1.94761,10.0402,3.57612,0.00121906,0.00121906,0.00121906
